"";"classe 1";"classe 2";"classe 3";"classe 4"
"providência";0,341;0,276;0,234;0,202
"pronunciar";0,675;0,511;0,197;0,231
"prolação";0;0,448;0,169;0,166
"processar";0;0,448;0,169;0,166
"preconceito";0,93;0,448;0,064;0,166
"preciso";0,271;0,023;0,439;0,166
"preceito";0,271;0,448;0,003;0,166
"pozzobon";0,341;0,511;0,234;0,012
"postura";0,93;0,448;0,064;0,166
"possibilitar";0,271;0,023;0,169;0,448
"posse";0,93;0,45;0,169;0,448
"poder_judiciário";0,675;0,511;0,197;0,231
"período";0,271;0,45;0,439;0,754
"pertencer";0,271;0,448;0,169;0,004
"pertencente";0,271;0,448;0,169;0,004
"perspectiva";0,271;0,45;0,439;0,754
"perseguição";0,271;0,45;0,064;0,166
"persecutório";0,202;0,45;0,763;0,166
"pensar";0,271;0,45;0,763;0,448
"orlar";0,675;0,511;0,234;0,202
"ordenação";0,271;0,448;0,003;0,166
"opção";0,93;0,448;0,064;0,166
"oportuno";0,202;0,448;0,169;0,448
"oitiva";0,202;0,448;0,169;0,448
"oficiar";0,93;0,448;0,169;0,067
"obrigação";0,271;0,448;0,064;0,754
"novembro";0,341;0,276;0,234;0,202
"nomeação";0,271;0,023;0,763;0,754
"neto";0,271;0,448;0,763;0,067
"negociação";0,93;0,45;0,169;0,448
"nação";0,341;0,511;0,011;0,231
"natural";0,271;0,448;0,003;0,166
"mínimo";0,341;0,511;0,011;0,231
"monique";0,93;0,448;0,439;0,754
"miller";0,341;0;0,234;0,231
"marcar";0,202;0,448;0,763;0,754
"mar";0,93;0,448;0,169;0,067
"manutenção";0,014;0,448;0,169;0,754
"manipulação";0,014;0,448;0,763;0,166
"luís";0,271;0;0,169;0,754
"lugar";0,014;0,45;0,169;0,166
"ler";0,271;0,448;0,439;0,448
"legítimo";0,271;0,448;0,003;0,166
"legitimidade";0,341;0,276;0,197;0,231
"lavra";0,073;0,511;0,234;0,969
"lavagem";0,271;0,023;0,169;0,448
"lado";0,271;0,45;0,169;0,067
"junto";0,271;0,023;0,169;0,448
"josé";0,341;0,005;0,234;0,969
"jf";0,271;0,023;0,763;0,754
"investigador";0,014;0,45;0,169;0,166
"intenção";0,202;0,448;0,763;0,754
"intenso";0,202;0,448;0,439;0,166
"integridade";0,675;0,276;0,961;0,231
"integrante";0,341;0,511;0,234;0,012
"institucional";0,93;0,448;0,439;0,754
"inquérito";0,014;0,448;0,763;0,166
"inicial";0,675;0,511;0,961;0,969
"indevido";0,93;0,45;0,439;0,166
"inclinação";0,93;0,023;0,763;0,166
"inadequado";0,271;0;0,169;0,166
"impugnar";0,93;0,448;0,064;0,166
"il";0,271;0,448;0,763;0,067
"heterodoxo";0,202;0,448;0,439;0,166
"grampear";0,271;0,448;0,169;0,004
"globo";0,271;0,448;0,169;0,004
"ft";0,93;0,448;0,169;0,067
"flor";0,271;0,448;0,169;0,004
"extremo";0,002;0,511;0,234;0,231
"exposição";0,93;0,448;0,064;0,166
"exercer";0,93;0,448;0,064;0,166
"exclusão";0,271;0,448;0,763;0,067
"excipiente";0,271;0;0,169;0,166
"evitar";0,93;0,023;0,763;0,166
"europeu";0,271;0,448;0,003;0,166
"escopo";0,271;0,448;0,064;0,754
"erro";0,341;0,511;0,961;0,202
"equipa";0,93;0,448;0,169;0,067
"envolvido";0,271;0,45;0,064;0,166
"emitir";0,675;0,511;0,197;0,231
"efetivação";0,341;0,511;0,197;0,969
"doutor";0,341;0;0,234;0,231
"dispositivo";0,675;0,511;0,197;0,231
"dinheiro";0,93;0,023;0,169;0,754
"dignidade";0,271;0,448;0,003;0,166
"desembargador";0,073;0,511;0,234;0,969
"denominar";0,202;0,45;0,763;0,166
"demorar";0,341;0,511;0,234;0,012
"deferir";0,341;0,276;0,234;0,202
"defensor";0,271;0;0,763;0,166
"decretação";0,073;0,276;0,234;0,231
"culpado";0,341;0,511;0,011;0,231
"culpabilidade";0,073;0,511;0,961;0,231
"cuidado";0,271;0,448;0,763;0,067
"corresponder";0,271;0,448;0,169;0,004
"correa";0,271;0,448;0,169;0,004
"conter";0,675;0,276;0,234;0,969
"constituir";0,271;0,45;0,064;0,166
"conjur";0,341;0,511;0,234;0,012
"conexão";0,014;0,448;0,763;0,166
"comprovar";0,271;0,448;0,763;0,067
"compartilhar";0,93;0,448;0,439;0,754
"comentar";0,202;0,448;0,763;0,754
"clareza";0,93;0,45;0,763;0,754
"ciência";0,341;0,511;0,197;0,969
"cidadão";0,271;0,448;0,003;0,166
"candidato";0,341;0;0,234;0,231
"campanha";0,341;0;0,234;0,231
"breve";0,93;0,448;0,439;0,754
"bonfim";0,271;0,448;0,169;0,004
"bangalore";0,271;0,448;0,003;0,166
"atribuição";0,93;0;0,169;0,166
"athayde";0,93;0,45;0,169;0,448
"argumento";0,675;0,511;0,961;0,969
"aquisição";0,271;0,448;0,169;0,004
"apresentado";0,675;0,511;0,234;0,202
"antonio";0,271;0,448;0,003;0,166
"analisado";0,675;0,511;0,961;0,969
"ameaça";0,073;0,276;0,234;0,231
"alvo";0,271;0,448;0,169;0,004
"ag";0,341;0,511;0,234;0,012
"adotado";0,271;0,45;0,763;0,448
"útil";0,675;0,511;0,961;0,969
"ângelo";0,675;0,511;0,961;0,969
"yale";0,341;0,511;0,011;0,231
"vítima";0,341;0,276;0,197;0,231
"voo";0,341;0,276;0,234;0,202
"vencer";0,341;0,511;0,961;0,202
"vc";0,341;0,511;0,234;0,012
"vantagem";0,341;0,005;0,961;0,231
"validade";0,675;0,511;0,961;0,969
"usado";0,341;0,276;0,961;0,969
"unido";0,675;0,511;0,961;0,969
"tradução";0,341;0,511;0,011;0,231
"thompson";0,341;0,511;0,234;0,012
"temporário";0,341;0,511;0,011;0,231
"subseção";0,002;0,511;0,234;0,231
"subjetivo";0,341;0,511;0,011;0,231
"sozinho";0,341;0,511;0,234;0,012
"silva";0,341;0,005;0,234;0,969
"significado";0,073;0,511;0,961;0,231
"serviço";0,675;0,511;0,234;0,202
"semelhante";0,675;0,511;0,197;0,231
"santo";0,073;0,511;0,234;0,969
"rousseff";0,675;0,276;0,961;0,231
"rodrigues";0,073;0,511;0,234;0,969
"reunião";0,341;0,511;0,961;0,202
"resumo";0,341;0,511;0,197;0,969
"restringir";0,675;0,276;0,961;0,231
"requerer";0,073;0,511;0,234;0,969
"representante";0,341;0,276;0,234;0,202
"repetido";0,341;0,276;0,234;0,202
"repercussão";0,675;0,511;0,197;0,231
"relevância";0,675;0,511;0,961;0,969
"relativo";0,073;0,511;0,234;0,969
"relacionado";0,675;0,276;0,234;0,969
"registro";0,675;0,005;0,234;0,231
"recebimento";0,675;0,276;0,234;0,969
"pôr";0,675;0,511;0,234;0,202
"punição";0,341;0,276;0,197;0,231
"proposta";0,675;0,276;0,961;0,231
"problema";0,073;0,511;0,234;0,969
"privado";0,341;0,511;0,961;0,202
"previsto";0,341;0,276;0,197;0,231
"prender";0,341;0,276;0,234;0,202
"posterior";0,341;0,276;0,234;0,202
"passo";0,675;0,511;0,961;0,969
"participar";0,675;0,276;0,961;0,231
"pagamento";0,675;0,511;0,961;0,969
"origem";0,341;0,276;0,961;0,969
"opinião";0,675;0,276;0,234;0,969
"ok";0,341;0,276;0,234;0,202
"ode";0,675;0,511;0,234;0,202
"oas";0,341;0,511;0,234;0,012
"notório";0,002;0,511;0,234;0,231
"norma";0,675;0,511;0,197;0,231
"mídia";0,675;0,511;0,961;0,969
"méxico";0,341;0,511;0,011;0,231
"midiática";0,341;0,511;0,011;0,231
"merecer";0,341;0,511;0,197;0,969
"macular";0,675;0,276;0,961;0,231
"líder";0,341;0,511;0,961;0,202
"lumen";0,341;0,511;0,011;0,231
"luciano";0,341;0,511;0,234;0,012
"longo";0,675;0,511;0,961;0,969
"lima";0,341;0,511;0,961;0,202
"licitude";0,675;0,276;0,961;0,231
"justo";0,341;0,276;0,197;0,231
"juris";0,341;0,511;0,011;0,231
"jornalista";0,341;0,511;0,961;0,202
"jogo";0,675;0,005;0,234;0,231
"inácio";0,341;0,005;0,234;0,969
"investigativo";0,675;0,511;0,234;0,202
"intinar";0,073;0,511;0,961;0,231
"interrupção";0,675;0,511;0,234;0,202
"instrumento";0,675;0,511;0,197;0,231
"instalar";0,073;0,511;0,961;0,231
"inquisitivo";0,341;0,511;0,197;0,969
"inocente";0,341;0,511;0,011;0,231
"iniciativa";0,073;0,511;0,961;0,231
"indivíduo";0,341;0,511;0,011;0,231
"indiciamento";0,675;0,511;0,234;0,202
"indicado";0,341;0,276;0,234;0,202
"incluir";0,675;0,511;0,961;0,969
"inadmissibilidade";0,341;0,511;0,011;0,231
"imputado";0,675;0,276;0,961;0,231
"iii";0,341;0,511;0,011;0,231
"identificar";0,341;0,511;0,197;0,969
"história";0,675;0,511;0,961;0,969
"gustavo";0,341;0,511;0,011;0,231
"gostar";0,341;0,276;0,961;0,969
"fugir";0,675;0,276;0,961;0,231
"frança";0,675;0,511;0,197;0,231
"franco";0,341;0,511;0,011;0,231
"filigrana";0,341;0,005;0,234;0,969
"fernando";0,341;0,276;0,234;0,202
"favorável";0,341;0,276;0,961;0,969
"facilitar";0,073;0,511;0,234;0,969
"extravagante";0,341;0,511;0,234;0,012
"expressão";0,675;0,511;0,197;0,231
"expressar";0,341;0,511;0,011;0,231
"evidência";0,002;0,511;0,234;0,231
"essência";0,341;0,511;0,011;0,231
"espúrio";0,002;0,511;0,234;0,231
"espírito";0,675;0,511;0,234;0,202
"espontâneo";0,002;0,511;0,234;0,231
"equivocar";0,341;0,511;0,234;0,012
"envolvimento";0,341;0,511;0,961;0,202
"entrar";0,341;0,276;0,234;0,202
"entao";0,341;0,511;0,234;0,012
"enorme";0,341;0,276;0,961;0,969
"enfrentar";0,675;0,511;0,961;0,969
"encher";0,675;0,511;0,961;0,969
"dr";0,341;0,511;0,234;0,012
"documento";0,675;0,276;0,961;0,231
"disposição";0,341;0,276;0,961;0,969
"diligência";0,073;0,276;0,234;0,231
"determinação";0,675;0,511;0,197;0,231
"destino";0,341;0,511;0,961;0,202
"desnecessário";0,675;0,276;0,234;0,969
"desenvolver";0,073;0,511;0,961;0,231
"descrição";0,341;0,276;0,234;0,202
"denotar";0,073;0,511;0,961;0,231
"definição";0,341;0,276;0,197;0,231
"deferimento";0,675;0,511;0,234;0,202
"decretar";0,073;0,276;0,234;0,231
"cópia";0,341;0,276;0,197;0,231
"cuidar";0,341;0,511;0,197;0,969
"costa";0,675;0,511;0,197;0,231
"cooperação";0,002;0,511;0,234;0,231
"contato";0,341;0,511;0,197;0,969
"contar";0,341;0,276;0,961;0,969
"construir";0,341;0,276;0,197;0,231
"consignar";0,341;0,511;0,011;0,231
"consideração";0,675;0,511;0,197;0,231
"consequência";0,341;0,511;0,011;0,231
"confissão";0,341;0,511;0,011;0,231
"conferir";0,675;0,511;0,961;0,969
"concessão";0,073;0,511;0,961;0,231
"compreender";0,675;0,511;0,197;0,231
"complementar";0,675;0,511;0,961;0,969
"colhido";0,002;0,511;0,234;0,231
"cnpj";0,341;0,511;0,234;0,012
"cit";0,341;0,511;0,011;0,231
"certo";0,341;0,511;0,961;0,202
"casa";0,341;0,276;0,234;0,202
"característica";0,341;0,511;0,011;0,231
"campo";0,675;0,276;0,961;0,231
"caixa";0,341;0,276;0,234;0,202
"avisar";0,341;0,511;0,234;0,012
"avaliação";0,073;0,511;0,961;0,231
"autoincriminação";0,341;0,511;0,011;0,231
"atribuir";0,073;0,511;0,234;0,969
"assumir";0,341;0,276;0,197;0,231
"assinatura";0,675;0,511;0,234;0,202
"apto";0,675;0,511;0,197;0,231
"aproximar";0,341;0,005;0,961;0,231
"apropriado";0,341;0,276;0,197;0,231
"aportar";0,675;0,276;0,234;0,969
"aplicativo";0,073;0,511;0,234;0,969
"apanhar";0,341;0,511;0,234;0,012
"amigo";0,341;0,511;0,234;0,012
"alberto";0,675;0,511;0,197;0,231
"aguardar";0,073;0,511;0,234;0,969
"afastado";0,341;0,511;0,011;0,231
"adquirir";0,341;0,511;0,197;0,969
"abusividade";0,675;0,511;0,197;0,231
"*vot_01";1;1;1;1
"*gru_01";1;1;1;1
